100,1186,H
309,1186,H
217,1115,H
281,984,H
36,803,H
282,779,H
29,1178,M
250,1146,M
122,1124,M
80,1108,M
370,1186,M
376,1109,M
348,1107,M
379,1056,M
136,1049,M
101,1003,M
259,959,M
31,859,M
167,779,M
207,676,M
187,755,M
239,831,M
260,836,M
164,835,M
337,896,M
371,973,M
461,1013,H
443,958,H
672,1171,H
869,1117,H
897,972,H
947,997,H
1026,1162,H
446,1176,M
440,1073,M
522,1171,M
556,993,M
563,1083,M
598,1071,M
640,1186,M
714,940,M
732,899,M
766,1184,M
805,1001,M
910,958,M
937,1053,M
943,1151,M
970,1186,M
1033,1048,M
991,1039,M
1122,1109,M
1135,1151,M
1186,1181,M
1065,954,H
992,943,H
1167,767,H
1037,967,M
1154,969,M
1171,951,M
1090,849,M
970,786,M
890,779,M
1018,690,M
1186,704,M
1091,624,M
998,547,H
1186,524,H
1121,403,H
1186,344,H
1078,222,H
969,166,H
1133,167,H
998,112,H
970,32,H
1049,517,M
1100,533,M
985,349,M
1148,397,M
951,306,M
1156,269,M
1171,231,M
1124,234,M
946,213,M
922,32,M
384,607,H
429,703,H
362,583,H
320,425,H
403,382,H
496,389,H
308,547,M
515,333,M
620,413,H
928,374,H
926,610,H
703,298,M
718,351,M
720,396,M
850,362,M
911,553,M
855,654,M
900,706,M
731,762,H
601,859,H
551,762,H
500,876,H
816,731,H
817,717,M
753,914,M
551,793,M
454,789,M
849,221,H
674,39,H
515,265,H
418,252,H
849,120,M
807,286,M
726,246,M
777,77,M
754,58,M
639,30,M
597,113,M
655,229,M
568,282,M
541,174,M
522,170,M
438,69,M
403,117,M
418,167,M
309,30,M
338,337,M
278,97,M
283,14,M
230,113,M
37,33,H
127,185,H
157,275,H
59,307,H
159,331,H
19,397,H
156,412,H
157,475,H
96,560,H
276,622,H
128,637,H
31,143,M
81,144,M
40,182,M
55,259,M
206,293,M
230,344,M
241,419,M
256,453,M
170,556,M
187,515,M
339,671,M
671,587,H
698,727,H
610,482,M
537,489,M
491,562,M
598,591,M
500,666,M
750,651,M
